Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
95,lovely (with Khalid),Billie Eilish,311240,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2020,5,29,au,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4
96,hot girl bummer,blackbear,308470,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2020,5,29,au,0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,185093,1
97,Say It Again,ONEFOUR,306519,https://open.spotify.com/track/1e96Ei7ZJjQGXfiqQdtSPS,2020,5,29,au,0.758,0.808,1,-4.406,1,0.431,0.397,0,0.107,0.598,144.605,261517,4
98,IDK You Yet,Alexander 23,306137,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d,2020,5,29,au,0.629,0.306,1,-11.735,1,0.0424,0.884,0.0776,0.124,0.191,76.994,184638,1
99,Jocelyn Flores,XXXTENTACION,305943,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2020,5,29,au,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
100,What A Man Gotta Do,Jonas Brothers,305079,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd,2020,5,29,au,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,180645,4
1,ROCKSTAR (feat. Roddy Ricch),DaBaby,1886799,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020,6,5,au,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733,4
2,Roses - Imanbek Remix,SAINt JHN,1387356,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020,6,5,au,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840,4
3,Blinding Lights,The Weeknd,1274539,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020,6,5,au,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
4,Rain On Me (with Ariana Grande),Lady Gaga,1115379,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020,6,5,au,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,182200,4
5,Breaking Me,Topic,1045594,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,2020,6,5,au,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,166794,4
6,Toosie Slide,Drake,1000138,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,2020,6,5,au,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,247059,4
7,death bed (coffee for your head),Powfu,972196,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020,6,5,au,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333,4
8,Watermelon Sugar,Harry Styles,957012,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020,6,5,au,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4
9,Supalonely,BENEE,956971,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,2020,6,5,au,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480,4
10,Break My Heart,Dua Lipa,924743,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020,6,5,au,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820,4
11,Stuck with U (with Justin Bieber),Ariana Grande,919288,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020,6,5,au,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,3
12,Don't Start Now,Dua Lipa,863568,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020,6,5,au,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,183290,4
13,Party Girl,StaySolidRocky,847871,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,2020,6,5,au,0.728,0.431,6,-9.966,0,0.0622,0.749,0,0.0996,0.629,130.022,147800,4
14,Intentions (feat. Quavo),Justin Bieber,839040,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020,6,5,au,0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,212867,4
15,Go Crazy,Chris Brown,787710,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,2020,6,5,au,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148,176960,4
