Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
35,Before You Go,Lewis Capaldi,12195547,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020,8,21,global,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107,4
36,Break My Heart,Dua Lipa,12092581,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020,8,21,global,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820,4
37,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,12039803,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,2020,8,21,global,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600,4
38,Djadja (feat. Maluma) - Remix,Aya Nakamura,12029745,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt,2020,8,21,global,0.791,0.682,5,-7.328,1,0.158,0.175,0,0.0926,0.672,98.031,166851,4
39,GREECE (feat. Drake),DJ Khaled,12028747,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,2020,8,21,global,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,218902,4
40,Don't Start Now,Dua Lipa,11904908,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020,8,21,global,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,183290,4
41,Go Crazy,Chris Brown,11861039,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,2020,8,21,global,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148,176960,4
42,Blueberry Faygo,Lil Mosey,11479612,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,2020,8,21,global,0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,162547,4
43,Lemonade,Internet Money,11373347,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt,2020,8,21,global,0.799,0.66,1,-6.153,0,0.079,0.256,0,0.111,0.471,140.04,195429,4
44,How You Like That,BLACKPINK,10813530,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,2020,8,21,global,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,181264,4
45,you broke me first,Tate McRae,10784278,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,2020,8,21,global,0.642,0.374,4,-9.386,1,0.0545,0.786,0,0.0906,0.0799,124.099,169266,4
46,Kings & Queens,Ava Max,10722324,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn,2020,8,21,global,0.638,0.688,1,-4.056,0,0.0407,0.00775,0,0.126,0.434,129.856,162399,4
47,Stuck with U (with Justin Bieber),Ariana Grande,10700417,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020,8,21,global,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,3
48,Toosie Slide,Drake,10678170,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,2020,8,21,global,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,247059,4
49,Party Girl,StaySolidRocky,10569470,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP,2020,8,21,global,0.73,0.439,6,-9.864,0,0.0609,0.747,0,0.0988,0.615,130.09,147800,4
50,Mamichula - con Nicki Nicole,Trueno,10289056,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM,2020,8,21,global,0.696,0.678,4,-5.893,0,0.0735,0.582,2.22e-06,0.134,0.346,91.985,219202,4
51,my future,Billie Eilish,9877965,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C,2020,8,21,global,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,208155,4
52,cardigan,Taylor Swift,9704132,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,2020,8,21,global,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4
53,The Box,Roddy Ricch,9555119,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020,8,21,global,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4
54,Circles,Post Malone,9348059,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020,8,21,global,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
55,Adore You,Harry Styles,9270372,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020,8,21,global,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4
56,goosebumps,Travis Scott,9021968,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2020,8,21,global,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243837,4
57,TKN (feat. Travis Scott),ROSALÍA,8943693,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7,2020,8,21,global,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,129371,4
58,Tusa,KAROL G,8793097,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020,8,21,global,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
