Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
63,Liar,Camila Cabello,2504661,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM,2019,11,8,us,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,4
64,It's You,Ali Gatie,2500978,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2019,11,8,us,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,212607,4
65,Lalala,Y2K,2492922,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019,11,8,us,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,160627,4
66,Juicy,Doja Cat,2492472,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp,2019,11,8,us,0.786,0.652,0,-2.607,1,0.0669,0.102,0,0.0697,0.483,170.031,203093,4
67,Good Thing (with Kehlani),Zedd,2442241,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU,2019,11,8,us,0.693,0.564,1,-3.857,0,0.0378,0.399,0,0.0409,0.574,185.913,210901,3
68,All I Want for Christmas Is You,Mariah Carey,2428042,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2019,11,8,us,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,241107,4
69,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2426491,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,11,8,us,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,145543,4
70,Beer Never Broke My Heart,Luke Combs,2421600,https://open.spotify.com/track/3RzcoFkZ0AOp2nH71jP504,2019,11,8,us,0.54,0.863,1,-4.483,1,0.0481,0.0138,0,0.0874,0.64,77.0,186733,4
71,Candy,Doja Cat,2404002,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be,2019,11,8,us,0.689,0.516,8,-5.857,1,0.0444,0.513,0,0.163,0.209,124.876,190920,4
72,SICKO MODE,Travis Scott,2380175,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,11,8,us,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
73,SLOW DANCING IN THE DARK,Joji,2378839,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,2019,11,8,us,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4
74,What You See Is What You Get,Luke Combs,2377666,https://open.spotify.com/track/1xIgz2QjA85ZpXiIoj6mMo,2019,11,8,us,0.593,0.805,5,-4.892,1,0.0346,0.0636,0,0.226,0.845,103.955,171920,4
75,Going Bad (feat. Drake),Meek Mill,2363505,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,11,8,us,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4
76,when the party's over,Billie Eilish,2327159,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2019,11,8,us,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
77,Talk (feat. Disclosure),Khalid,2309696,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019,11,8,us,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,197573,4
78,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2309437,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019,11,8,us,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,189487,4
79,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,2281375,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,2019,11,8,us,0.857,0.621,9,-6.376,0,0.0825,0.148,0,0.0865,0.668,97.989,204467,4
80,One Man Band,Old Dominion,2259856,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR,2019,11,8,us,0.706,0.358,6,-8.331,1,0.0348,0.677,0,0.107,0.478,75.991,186240,4
81,everything i wanted,Billie Eilish,2254628,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2019,11,8,us,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
82,Self Control,YoungBoy Never Broke Again,2248337,https://open.spotify.com/track/4vSoyDfL0uZyUoWu5NNNsQ,2019,11,8,us,0.82,0.697,6,-7.296,0,0.378,0.0349,0,0.197,0.629,154.992,185866,4
83,Hollywood's Bleeding,Post Malone,2229754,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt,2019,11,8,us,0.405,0.646,4,-3.206,0,0.0476,0.331,0,0.103,0.17,130.218,156267,4
84,Lover,Taylor Swift,2215321,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,2019,11,8,us,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4
85,lovely (with Khalid),Billie Eilish,2209278,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2019,11,8,us,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4
86,Robbery,Juice WRLD,2205656,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,2019,11,8,us,0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966,240051,5
87,I.F.L.Y.,Bazzi,2200879,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2019,11,8,us,0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954,165714,4
88,Ransom (with Juice WRLD) - Remix,Lil Tecca,2193541,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp,2019,11,8,us,0.684,0.671,2,-6.424,0,0.289,0.0119,0,0.0769,0.45,179.987,171253,4
89,Chanel,Frank Ocean,2180532,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh,2019,11,8,us,0.776,0.503,0,-5.732,0,0.237,0.874,0,0.112,0.473,110.134,210285,4
90,EARFQUAKE,"Tyler, The Creator",2169524,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,2019,11,8,us,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4
91,Trigger,Major Lazer,2163985,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif,2019,11,8,us,0.57,0.585,8,-7.041,1,0.251,0.128,0.000105,0.111,0.378,97.285,171987,4
92,One Thing Right,Marshmello,2156075,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,2019,11,8,us,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,181824,4
93,Panini - DaBaby Remix,Lil Nas X,2154485,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD,2019,11,8,us,0.717,0.598,5,-5.613,0,0.0809,0.22,0,0.122,0.496,153.905,151040,4
